,emoji_symbol,emoji_name,emoji_code,emoji_description
28,🤭,Face with Hand Over Mouth,U+1F92D,"A yellow face with a hand covering its mouth. Appleand Facebookfeature simple, open eyes, suggesting someone gaspingOh my!in serious surprise, shock, concern, or apology. Other platforms depict a face with smiling eyes and/or blushing cheeks, suggesting coy laughter or embarrassment, as if cheekily sayingOops!May be used to similar effect as🙊 Speak-No-Evil Monkey.See also🤐Zipper-Mouth Face.Joins🤗Hugging Face,🤔Thinking Face, and🤫Shushing Faceas one of the few smileys featuring hands.Facebook's designpreviously featuredsmiling eyes and mouth.Face with Hand Over Mouthwas approved as part ofUnicode 10.0in 2017
under the name “Smiling Face with Smiling Eyes and Hand Covering Mouth”
and added toEmoji 5.0in 2017."
29,🤫,Shushing Face,U+1F92B,"A yellow face placing an index finger over pursed lips, as if issuingShh!orShush!for silence.Some platforms feature raised eyebrows. Apple’s design suggests the face is tilting back slightly.May convey silence, quiet, secrecy, and discreetness. May also create a sense of buzz and anticipation, e.g., an exclusive sneak peek or news scoop.See also🤐Zipper-Mouth Face. Joins🤗Hugging Face,🤔Thinking Face, and🤭Face With Hand Over Mouthas one of the few smileys featuring hands."
30,🤔,Thinking Face,U+1F914,"A yellow face with furrowed eyebrows looking upwards with thumb and index finger resting on its chin. Intended to show a person pondering or deep in thought.Often used to question or scorn something or someone,as if sayingHmm, I don't know about that. Tone varies, including earnest, playful, puzzled, skeptical, and mocking.May be paired with💭 Thought Balloonor💡 Light Bulbto representthinking, (having) ideas, and learning.Joins🤗Hugging Face,🤫Shushing Face, and🤭Face With Hand Over Mouthas one of the few smileys featuring a hand."
31,🤐,Zipper-Mouth Face,U+1F910,"A yellow face with simple, open eyes and a closed zipper for a mouth. Meaning widely varies, but commonly conveys a secret or that someone willkeepone (e.g.,My lips are sealed). May also be used to tell someone to stop talking (e.g., Zip it!orI’ll shut up now).Google's design for😯 Hushed Facepreviously featureda zipper-mouth."
32,🤨,Face with Raised Eyebrow,U+1F928,"A yellow face with a flat, neutral mouth and furrowed eyebrows, its left raised higher than its right. Conveys a wide variety of sentiments, including suspicion, skepticism, concern, consideration, disbelief, and disapproval.Its expressionhas notably been likenedto the signature look of comedianStephen Colbertas well as actor/wrestlerDwayne “The Rock” Johnson."
33,😐,Neutral Face,U+1F610,"A yellow face with simple, open eyes and a flat, closed mouth. Intended to depict a neutral sentiment but often used to convey mild irritation and concern or a deadpan sense of humor."
34,😑,Expressionless Face,U+1F611,"A yellow face with flat, closed eyes and mouth. May convey a sense of frustration or annoyance more intense than suggested by😐 Neutral Face,as if taking a moment to collect itself."
35,😶,Face Without Mouth,U+1F636,"A yellow face with simple, open eyes and no mouth, as if at a loss for words. Meaning widely varies, but commonly conveys speechlessness, humility, and silence.May also convey moderately negative emotions, such as disappointment, frustration, or sadness.Samsung’s designpreviously featuredraised eyebrows and blushing cheeks."
36,😏,Smirking Face,U+1F60F,"A yellow face with a sly, smug, mischievous, or suggestive facial expression. It features a half-smile, raised eyebrows, and eyes looking to the side. Often used to convey flirtation or sexual innuendo.Not to be confused with😒 Unamused Face, which has similar eyes but a pouting mouth.This emoji has a cat variant,😼 Cat Face With Wry Smile.OnSnapchat, this emoji next to a contact denotesthat this person snaps you frequentlybut you do not often snap them in return.Smirking Facewas approved as part ofUnicode 6.0in 2010
and added toEmoji 1.0in 2015."
37,😒,Unamused Face,U+1F612,"A yellow face with slightly raised eyebrows, a frown, and eyes looking to the side. May convey a variety of negative emotions, including irritation, displeasure, grumpiness, and skepticism, as if giving theside-eye.Not to be confused with😏Smirking Face, which features similar eyes but a wry smile."
38,🙄,Face with Rolling Eyes,U+1F644,"A yellow face witha small, closed mouth, flat or frowning, rolling its large, white eyes upwards. As with the gesture of an eye-roll, commonly conveys moderate disdain, disapproval, frustration, or boredom. Tone varies, including playful, sassy, resentful, and sarcastic, as if sayingYeah, whatever.Samsung's designpreviously depicteda face smiling and looking to the side.Face with Rolling Eyeswas approved as part ofUnicode 8.0in 2015
and added toEmoji 1.0in 2015."
39,😬,Grimacing Face,U+1F62C,"A yellow face with simple open eyes showing clenched teeth. May represent a range of negative or tense emotions, especially nervousness, embarrassment, or awkwardness (e.g.,Eek!).Resembled😁 Beaming Face With Smiling Eyeson Apple iOSprior to 2017. Apple’s design for🥶 Cold Facefeatures the same mouth. Samsung's designpreviously featuredmore puckered-looking lips.OnSnapchat, thisemoji next to a contact denotes that you send the most snaps to the same person that they do., i.e.,you share a#1 Best Friend.Grimacing Facewas approved as part ofUnicode 6.1in 2012
and added toEmoji 1.0in 2015."
40,🤥,Lying Face,U+1F925,"A yellow face with raised eyebrows, enlarged eyes, slight frown, and long nose,indicatingit’s telling a lie in the manner ofPinocchio. Like that character, Facebook's design features a wooden nose.May represent lying, a liar, and other concepts of deceit and dishonesty to varying degrees of intensity. Sometimes used to convey disbelief (e.g.,You must be kidding) or feeling abashed (e.g., as ifcaught in the act of lying)."
41,😌,Relieved Face,U+1F60C,"A yellow face with soft, closed eyes, raised eyebrows, and a slight smile. Facebook’s design features a slightly open mouth, as ifsighing.Conveys various pleasant feelings, includingcontentment, calm, peace, andrelief. May also convey feelings of happiness or good-natured humor more generally.GoogleandMicrosoftpreviously included sweat beads. Not to be confused with😔Pensive Face, which has similarly shaped eyes but in a sadder expression."
42,😔,Pensive Face,U+1F614,"A pensive, remorseful face. Saddened by life. Quietly considering where things all went wrong.Depicted as a yellow face with sad, closed eyes, furrowed eyebrows, and a slight, flat mouth.May convey a variety of sad emotions, including feeling disappointed, hurt, or lonely. Less intense than other sad emojis like😭Loudly Crying Faceand more introspective.Microsoft's designpreviously featureda more neutral, bored expression. Samsung’s designpreviously lookedmore guilty or worried.Not to be confused with😌Relieved Face, which has similarly shaped eyes but in a happier expression."
43,😪,Sleepy Face,U+1F62A,"A yellow face with closed eyes, mouth slightly open, and a blue snot bubble coming from its nose.Snot bubblesindicate a character is tired or sleeping in anime or manga.Not to be confused with😴 Sleeping FaceWhile sometimes used to convey sadness, dissastification, or illness, Sleepy Face is also not to be confused with😢 Crying Face,😥 Sad but Relieved Face, or other emojis with tear or sweat droplets.Samsung’s designpreviously featuredtwo, cartoon-styled,sleeping-symbolZz’soverhead."
44,🤤,Drooling Face,U+1F924,"A yellow face, usually shown with closed eyes and raised eyebrows, with saliva drooling from one corner of its mouth. Often used to show desire for a person (sexy,attractive) or object (e.g., delicious food). May also represent someone is tired or sleeping.Not to be confused with😋 Face Savoring Foodor😪 Sleepy Face.Samsung's designpreviously featureda startled facial expression."
45,😴,Sleeping Face,U+1F634,"A yellow face with eyes closed and mouth letting out three, cartoon-styledZzz’s overhead to indicate it's sound asleep. The Zzz’s appearblue or purple across most platforms. May also represent boredom (slang,snooze).Generally used instead of😪 Sleepy Faceto convey sleepor sleepiness."
46,😷,Face with Medical Mask,U+1F637,"A yellow face with closed eyes wearing a white surgical mask, as used byhealth workersinhospitals. Alsowornto avoidsicknessor spreading airborne diseases.Windows 8.1 depicted a ridgeddust mask, as used byconstruction workers, changed to a medical mask in Windows 10.In 2020, this emoji becameprimarily usedin reference toCoronavirus / COVID-19."
47,🤒,Face with Thermometer,U+1F912,"A yellow face with raised or furrowed eyebrows and athermometerin its mouth. Often depicted with red cheeks, as if feverish. May be used to represent ahospitalpatient or person with a cold or flu.Differs from other smileys conveying illness, such as🤢 Nauseated Face(appearing as if it'sgoing to vomit) or🤕 Face With Head-Bandage(physical injury)."
48,🤕,Face with Head-Bandage,U+1F915,"A yellow face with a half-frown and white bandage wrapped around its head, often depicted partially over one eye. May represent physical injury or pain but also emotional hurting, sometimes for ironic effect.Differs from other smileys conveying illness, such as🤢 Nauseated Face(appearing as if it’s going to vomit) or🤒 Face With Thermometer(used especially for colds and flus)."
49,🤢,Nauseated Face,U+1F922,"A sickly-green face with concerned eyes and puffed, often red cheeks, as if holding back vomit. May represent physical illness or general disgust. Not to be confused with🤮 Face Vomiting.Differs from other smileys conveying sickness, including🤒 Face With Thermometer(used especially for colds and flus) and🤕 Face With Head-Bandage(physical injury)."
50,🤮,Face Vomiting,U+1F92E,"A yellow face with scrunched, X-shaped eyes spewing bright-green vomit. May represent physical illness or disgust, more intensely so than🤢 Nauseated Face."
51,🤧,Sneezing Face,U+1F927,"A yellow face with scrunched, X-shaped eyes sneezing or blowing its nose into a white tissue, as if from a cold or allergies. Often depicted with a crumpled-looking mouth.May also represent someone in an emotional state wiping away tears, as at awedding."
52,🥵,Hot Face,U+1F975,"A reddish-orange face with furrowed eyebrows, tongue stuck out, and beads of sweat, as if overheated from high temperatures. Number and position of sweat droplets vary by platforms. May also represent physical attractiveness (slang,hot).Most platforms feature expressions that are variations on😰 Anxious Face With Sweator😥 Sad but Relieved Face."
53,🥶,Cold Face,U+1F976,"An icy-blue face with gritted teeth usually depicted with icicles clinging to its cheeks or jaw, as if frozen from extreme cold. May also represent unfriendliness (slang,cold) or excellence (slang,coolorchill).Apple’s design features the same expression as its😬 Grimacing Face."
54,🥴,Woozy Face,U+1F974,"A yellow face with a crumpled mouth and a cockeyed expression, as iftired and emotionalfrom inebriation or smitten with love. Depicted with raised or furrowed eyebrows and at least one eye half-open. WhatsApp's design features a tongue hanging out.Meaning widely varies, but commonly conveys intoxication orinfatuation. Its dazed expression may also represent such feelings or states as bewilderment,irritation, disgust, exhaustion, wackiness, or complete satisfaction."
55,😵,Dizzy Face,U+1F635,"A yellow face with X’s orspiralsfor eyes and a round, open mouth. Often depicted with raised or furrowed eyebrows. Facebook’s design features a purple forehead.May convey a heightened or hyperbolic sense of such feelings asshock, surprise, disbelief, awe, andamazement, as if staggered to the point of disorientation (i.e.,dizzy). May also representsickness,nausea,intoxication, anddeath, e.g., slangI’m dead!Not to be confused with😲Astonished Face, which previously featured X-shaped eyes on several platforms, though their meanings may overlap.Dizzy Facewas approved as part ofUnicode 6.0in 2010
and added toEmoji 1.0in 2015."
56,🤯,Exploding Head,U+1F92F,"A yellow face with an openmouth, the top of its head exploding in the shape of a brain-like mushroom cloud. A visual form of the expressionmind blown, itmay represent such emotions as shock, awe, amazement, and disbelief.Apple’s design features the same expression as its😦 Frowning Face With Open Mouth."
57,🤠,Cowboy Hat Face,U+1F920,"Yee-haw! A yellow smiley wearing a wide-brimmed, brown-leather cowboy hat. Its smile varies across platforms.May convey a sense of exuberance, whimsy, confidence, adventure, or other sentiments.Several vendors, including Apple, featurethe same expression as their😃 Grinning Face With Big Eyes."
58,🥳,Partying Face,U+1F973,A yellow face with a party hat blowing a party horn as confetti floats around its head. Used for celebrating joyous occasions (such asNew Year's EveorWorld Emoji Day) and enjoying good times more generally.Apple’s design features the same expression as its😚Kissing Face With Closed Eyes.
59,😎,Smiling Face with Sunglasses,U+1F60E,"A yellow face with a broad, closed smile wearing blacksunglasses, as if a pair of classicWayfarers. Often used to convey the slangsense ofcool. May also express a confident, carefree attitude or that something is excellent.🤓Nerd Facewears similarly shapedeyeglasses.OnSnapchat, this emoji next to a contact denotes that you have best friends in common with this person."
60,🤓,Nerd Face,U+1F913,"A yellow face smiling with thick, black-rimmedeyeglassesand buck teeth on most platforms. Styled after a stereotypical nerd,with buck teeth a racist caricaturehistorically mocking East Asians.Some featurewhite-taped glasses, another nerd trope.Smile and glasses vary across platforms.Meaning varies, but often used as a self-deprecating but positive way to express or demonstrate someone is being a nerd, i.e., exceptionally technical, knowledgeable, or excited about something, from school to fashion to sports. Also used to represent eyeglasses or someone wearing them more generally.😎Smiling Face With Sunglasseswears similarly shaped sunglasses."
61,🧐,Face with Monocle,U+1F9D0,"A yellow face with furrowed eyebrows wearing amonocle. Usually depicted with a small,intent frown and head slightly upturned, as if in careful inspection.Mayshow that someone is pondering, considering, or questioning something, sometimes with a sense ofskeptical or ironic observation or encouraging a closer look at some content. May convey a sense of sophistication or smug intelligence, e.g., smarty-pants."
62,😕,Confused Face,U+1F615,"A yellow face with open eyes and a skewed frown, as if scrunching its cheeks or chewing its lips. A look offeeling unsure.An Google’s design heightens its intended puzzlementby including contorted eyebrows.While it can convey confusion, it is commonly used for moderate sadness, disappointment, and frustration, thanks to its frown.Samsungpreviously included raised eyebrows, as didMicrosoftalong with a rotatedS-shaped mouth, à la the :S emoticon."
63,😟,Worried Face,U+1F61F,"A yellow face with open eyes, raised or furrowed eyebrows, and a broad frown.May convey a variety of moderately sad or tense emotions, including concern, anxiety, alarm, disappointment, and unhappiness.Apple’s design features the same eye expression as on its😯Hushed Face. Not to be confused with😲 Astonished Faceor😵Dizzy Face.Samsung’s designpreviously includedsweat droplets coming from its cheeks, a shorthand for anxiety in manga and anime."
64,🙁,Slightly Frowning Face,U+1F641,"A yellow face with simple, open eyes and a slight frown. Often conveys a mild degree of concern, disappointment, or sadness, but usuallyless intenselythan☹️Frowning Face.SamsungandFacebookpreviously included eyebrows."
65,☹️,️ Frowning Face,"U+2639, U+FE0F","A classic sad face. A yellow face withsimple, open eyes and wide, steep frown. May convey such feelings as moderate concern or disappointment and affectionate sadness, as when missing a loved one. Its sentiment is usually more intense than🙁Slightly Frowning Face, which has a smaller frown.This smiley predates Unicode emoji support. In its Unicode name ofWhite Frowning Face,whitedoesnotrefer to skin tone or ethnicity, althoughSamsung’searly designscolored the face white.See the glossary for thetermwhitein Unicode character names."
66,😮,Face with Open Mouth,U+1F62E,"A yellow face with small,open eyes and a large, round mouth, slackwithsurprise or shock, as if sayingWow!orOh my!May convey such feelings as aweor disbelief, often milder or more ironic in tonethan😱Face Screaming inFear."
67,😯,Hushed Face,U+1F62F,"A yellow face with small, open eyes, raised eyebrows, and a small,open mouth, as if it has been hushed by concern or correction. Meaning widely varies, but its expression is commonly taken as surprise, embarrassment, or mildexcitement.Similar to😲Astonished Face, which features larger eyes and mouth.Googlepreviously interpretedhushedas ""silenced,""depictingthe emoji with azipper mouthuntilAndroid 6.0.1."
68,😲,Astonished Face,U+1F632,"A yellow face with open eyes, raised eyebrows, and an open mouth, as if gasping in shock or surprise. Often depicted showing its upper teeth.May convey a wide range of emotions, including awe, amazement, admiration, disbelief, excitement, or concern.Similar to😯Hushed Face, which features smaller eyes and mouth. Several earlier designs,including Apple’s, displayed X-shaped eyes, making the emoji resemble😵Dizzy Face. Google’s designpreviously depicteda wobbly expression, as ifinebriated.Astonished Facewas approved as part ofUnicode 6.0in 2010
and added toEmoji 1.0in 2015."
69,😳,Flushed Face,U+1F633,"A yellow face with raised eyebrows, a small, closed mouth, wide, white eyes staring straight ahead, and blushing cheeks. Intended to depict such feelings asembarrassment, but meaning very widely varies. Other senses include flattery, surprise, disbelief, admiration, affection, and excitement.Google's designpreviously featureda more bashful expression andSamsung, a more ashamed one.Flushed Facewas approved as part ofUnicode 6.0in 2010
and added toEmoji 1.0in 2015."
70,🥺,Pleading Face,U+1F97A,"A yellow face with furrowed eyebrows, a small frown, and large, “puppy dog” eyes, as if begging or pleading. May also represent adoration or feeling touchedby a loving gesture.Pleading Face isthethird most popular emoji used on Twitter."
71,😦,Frowning Face with Open Mouth,U+1F626,"A yellow face with small, open eyes and an open frown. Samsung’s design shows upper teeth and tongue. Meaning widely varies, but may convey mild sadness, disappointment, concern, and amazement."
72,😧,Anguished Face,U+1F627,"A yellow face with small, open eyes, open frown, and raised eyebrows. Samsung’s design shows upper teeth and tongue. Meaning widely varies, but may convey alarm, confusion, or sadness, as if gasping in shock or concern.Bears the same eyes and mouth as😦Frowning Face With Open Mouthon most platforms, but its eyebrows give it a more surprised expression."
73,😨,Fearful Face,U+1F628,"A face with small, open eyes, open frown, raised eyebrows, and a pale blue forehead, as if experiencing acoldflash.Samsung’s design shows upper teeth and tongue.While intended to represent fear (less intense than😱Face Screaming in Fear), it also conveys a wide variety of emotions, including feeling amazed, shocked, sad, upset, andcold. Bears the same expression as😧Anguished Faceon most platforms."
74,😰,Anxious Face with Sweat,U+1F630,"A face with open eyes and a small, open frown. Its eyebrows are furrowed, with a single bead of cold sweat dripping down, and its forehead is pale blue, as if experiencing acoldflash. Samsung's design shows upper teeth and tongue.Meaning widely varies, but commonly conveys such feelings as sadness, disappointment, fear, and anxiety. Similar to😥Sad but Relieved Face, but with a blue head and larger frown.Not to be confused with😢Crying Face,😪Sleepy Face, or other emojis with tear or sweat droplets.MicrosoftandSamsungpreviously featured smileys that appeared more excited in expression."
75,😥,Sad but Relieved Face,U+1F625,"A yellow face with small, open eyes, a slight frown, and furrowed eyebrows, from which a single bead of sweat drips, as if from concern or anxiety. Also known asDisappointed but Relieved Face, suggesting the smiley is upset but is grateful things didn’t turn out worse.Commonly conveys mild degrees of frustration and sadness. Not to be confused with😢 Crying Face,😪 Sleepy Face, or other emojis with tear or sweat droplets."
76,😢,Crying Face,U+1F622,"A yellow face with raised eyebrows and a slight frown, shedding a single, blue tear from one eye down its cheek. May convey a moderate degree of sadness or pain, usually less intensely than😭Loudly Crying Face.Not to be confused with😥Sad but Relieved Face,😪Sleepy Face, or other emojis with tear or sweat droplets. Samsung’s designpreviously featuredtears welling up in both eyes.This emoji has a cat variant,😿Crying Face."
77,😭,Loudly Crying Face,U+1F62D,"A yellow face with an open mouth wailing and streams of heavy tears flowing from closed eyes. May convey inconsolable griefbut also other intense feelings, such as uncontrollable laughter or overwhelming joy.Not to be confused with😂 Face With Tears of Joy. Several platforms, including Apple, feature the same mouth as on their😲Astonished Face."
78,😱,Face Screaming in Fear,U+1F631,"A yellow face screaming in fear, depicted by wide, white eyes, a long, open mouth, hands pressed on cheeks, and a paleblue forehead, as if it has lost its color. Its expression evokes Edvard Munch’s iconic paintingThe Scream.While intended to represent horror and fright, it commonly conveys such feelings as shock, awe, disbelief, and intense excitement, as a screaming fan.Samsung’s designpreviously featuredaghostflying from its mouth.🙀Weary Cat Facebears a similar expression."
79,😖,Confounded Face,U+1F616,"A yellow face with scrunched, X-shaped eyes and a crumpled mouth, as if quivering in frustration or holding back tears. May be used to represent being overcome with various emotions, including irritation, frustration, disgust, and sadness,as if to the point of defeat.Microsoft and Twitter’s designs featureeyebrows, Facebook’s a purple forehead.Vendor designs have noticeably evolved over time.AppleandGoogle’sdesigns previously included eyebrows. Earlier versionsfrom Googlealso displayed a more miserable expression, andMicrosofta more confused one.Samsung’s designpreviously featuredX’s for eyes, a flushed nose, and vertical lines over its forehead, shorthands in manga and anime for such feelings as anger and embarrassment."
80,😣,Persevering Face,U+1F623,"A yellow face with a slight frown, furrowed eyebrows, and scrunched, X-shaped eyes, as if holding back tears or exerting great effort. May convey various degrees and tones of frustration, sadness, helplessness, and struggle. Facebook’s design features a light-purple forehead."
